"","Location","Count","AvgSalary"
"1","New York, NY",310,71.2354838709677
"2","Chicago, IL",130,78.7269230769231
"3","San Francisco, CA",119,99.2731092436975
"4","Austin, TX",81,58.7037037037037
"5","Los Angeles, CA",80,67.63125
"6","Charlotte, NC",78,68.1730769230769
"7","Houston, TX",72,62.1805555555556
"8","Dallas, TX",66,50.5757575757576
"9","San Diego, CA",62,91.4596774193548
"10","Philadelphia, PA",56,62.4107142857143
"11","Denver, CO",47,71.7765957446809
"12","San Antonio, TX",45,62.6333333333333
"13","San Jose, CA",38,108.855263157895
"14","Phoenix, AZ",35,72.6571428571429
"15","Jersey City, NJ",33,70.6666666666667
"16","Tempe, AZ",31,69.8548387096774
"17","Seattle, WA",30,64.5
"18","Columbus, OH",29,45.3793103448276
"19","Irving, TX",29,57.2931034482759
"20","Plano, TX",28,57.6785714285714
"21","Salt Lake City, UT",22,37.6590909090909
"22","Santa Clara, CA",22,104.636363636364
"23","El Segundo, CA",19,68.3421052631579
"24","Jacksonville, FL",19,56
"25","Norfolk, VA",18,69.6111111111111
"26","San Mateo, CA",18,91.0555555555556
"27","Burbank, CA",17,80.9705882352941
"28","Indianapolis, IN",17,47.5
"29","Fort Worth, TX",16,61.34375
"30","Sunnyvale, CA",16,102.78125
"31","Mountain View, CA",15,90.3
"32","Scottsdale, AZ",15,69.9666666666667
"33","Palo Alto, CA",14,93.9285714285714
"34","Brooklyn, NY",13,65.6153846153846
"35","Cupertino, CA",13,105.884615384615
"36","Hampton, VA",13,59.7692307692308
"37","Long Beach, CA",13,80.7692307692308
"38","Redwood City, CA",12,97.0833333333333
"39","Menlo Park, CA",11,101.863636363636
"40","Oakland, CA",11,92.8636363636364
"41","Redmond, WA",11,65.7272727272727
"42","Wilmington, DE",11,59.7272727272727
"43","Richardson, TX",10,57.75
"44","Centennial, CO",9,79.3888888888889
"45","Downers Grove, IL",9,66.9444444444444
"46","Foster City, CA",9,85.3888888888889
